TOWNSN,LAT,LON,Point,TOWNID,name,TOWNID8,name_eng
10005002,24.703491,120.96863,POINT (120.9686279296875 24.7034912109375),1000505,苗栗縣/頭份鎮,10005050,miaolixiantoufenshi
10004011,24.703278,120.99939,POINT (120.9993896484375 24.703277587890625),1000411,新竹縣/峨眉鄉,10004110,xinzhuxianemeixiang
10004011,24.70308,121.03015,POINT (121.0301513671875 24.703079223632812),1000411,新竹縣/峨眉鄉,10004110,xinzhuxianemeixiang
10004010,24.702858,121.06088,POINT (121.06088256835938 24.702857971191406),1000409,新竹縣/北埔鄉,10004090,xinzhuxianbeibuxiang
10004008,24.702621,121.091644,POINT (121.09164428710938 24.702621459960938),1000402,新竹縣/竹東鎮,10004020,xinzhuxianzhudongzhen
10004009,24.702408,121.122375,POINT (121.12237548828125 24.702407836914062),1000408,新竹縣/橫山鄉,10004080,xinzhuxianhengshanxiang
10004009,24.702164,121.15314,POINT (121.15313720703125 24.702163696289062),1000408,新竹縣/橫山鄉,10004080,xinzhuxianhengshanxiang
10004009,24.701927,121.1839,POINT (121.18389892578125 24.701927185058594),1000408,新竹縣/橫山鄉,10004080,xinzhuxianhengshanxiang
10004012,24.701675,121.21463,POINT (121.21463012695312 24.701675415039062),1000412,新竹縣/尖石鄉,10004120,xinzhuxianjianshixiang
10004012,24.701416,121.24539,POINT (121.24539184570312 24.701416015625),1000412,新竹縣/尖石鄉,10004120,xinzhuxianjianshixiang
10004012,24.701164,121.27612,POINT (121.276123046875 24.70116424560547),1000412,新竹縣/尖石鄉,10004120,xinzhuxianjianshixiang
10003013,24.700897,121.306885,POINT (121.306884765625 24.700897216796875),1000313,桃園縣/復興鄉,68000130,taoyuanshifuxingqu
10003013,24.7006,121.33765,POINT (121.337646484375 24.700599670410156),1000313,桃園縣/復興鄉,68000130,taoyuanshifuxingqu
10003013,24.700325,121.36838,POINT (121.36837768554688 24.70032501220703),1000313,桃園縣/復興鄉,68000130,taoyuanshifuxingqu
10003013,24.700043,121.39911,POINT (121.39910888671875 24.700042724609375),1000313,桃園縣/復興鄉,68000130,taoyuanshifuxingqu
10003013,24.699745,121.42987,POINT (121.42987060546875 24.699745178222656),1000313,桃園縣/復興鄉,68000130,taoyuanshifuxingqu
10003013,24.699425,121.46063,POINT (121.46063232421875 24.699424743652344),1000313,桃園縣/復興鄉,68000130,taoyuanshifuxingqu
10001085,24.699127,121.49136,POINT (121.49136352539062 24.699127197265625),1000129,新北市/烏來區,65000290,xinbeishiwulaiqu
10001085,24.698814,121.522095,POINT (121.5220947265625 24.698814392089844),1000129,新北市/烏來區,65000290,xinbeishiwulaiqu
10002064,24.69851,121.55286,POINT (121.5528564453125 24.698509216308594),1000211,宜蘭縣/大同鄉,10002110,yilanxiandatongxiang
10002064,24.698174,121.58362,POINT (121.5836181640625 24.69817352294922),1000211,宜蘭縣/大同鄉,10002110,yilanxiandatongxiang
10002051,24.697845,121.61435,POINT (121.61434936523438 24.697845458984375),1000207,宜蘭縣/員山鄉,10002070,yilanxianyuanshanxiang
10002051,24.697502,121.64508,POINT (121.64508056640625 24.69750213623047),1000207,宜蘭縣/員山鄉,10002070,yilanxianyuanshanxiang
10002054,24.697136,121.67584,POINT (121.67584228515625 24.69713592529297),1000210,宜蘭縣/三星鄉,10002100,yilanxiansanxingxiang
10002054,24.696793,121.706604,POINT (121.70660400390625 24.696792602539062),1000210,宜蘭縣/三星鄉,10002100,yilanxiansanxingxiang
10002054,24.696434,121.737335,POINT (121.73733520507812 24.696434020996094),1000210,宜蘭縣/三星鄉,10002100,yilanxiansanxingxiang
10002053,24.696068,121.76807,POINT (121.76806640625 24.696067810058594),1000209,宜蘭縣/五結鄉,10002090,yilanxianwujiexiang
10002053,24.695694,121.79883,POINT (121.798828125 24.695693969726562),1000209,宜蘭縣/五結鄉,10002090,yilanxianwujiexiang
10002053,24.69532,121.82959,POINT (121.82958984375 24.69532012939453),1000209,宜蘭縣/五結鄉,10002090,yilanxianwujiexiang
-1,24.694939,121.86032,POINT (121.86032104492188 24.69493865966797),7654321,海上,0,haishang
-1,24.694542,121.89105,POINT (121.89105224609375 24.694541931152344),7654321,海上,0,haishang
-1,24.694138,121.921814,POINT (121.92181396484375 24.694137573242188),7654321,海上,0,haishang
-1,24.693748,121.952545,POINT (121.95254516601562 24.693748474121094),7654321,海上,0,haishang
-1,24.693336,121.98331,POINT (121.98330688476562 24.693336486816406),7654321,海上,0,haishang
-1,24.69291,122.01404,POINT (122.0140380859375 24.692909240722656),7654321,海上,0,haishang
-1,24.692497,122.0448,POINT (122.0447998046875 24.69249725341797),7654321,海上,0,haishang
-1,24.732681,119.24646,POINT (119.2464599609375 24.732681274414062),7654321,海上,0,haishang
-1,24.732841,119.27722,POINT (119.2772216796875 24.73284149169922),7654321,海上,0,haishang
-1,24.732986,119.30798,POINT (119.3079833984375 24.732986450195312),7654321,海上,0,haishang
-1,24.733131,119.338715,POINT (119.33871459960938 24.733131408691406),7654321,海上,0,haishang
-1,24.733246,119.36948,POINT (119.36947631835938 24.733245849609375),7654321,海上,0,haishang
-1,24.73339,119.40024,POINT (119.40023803710938 24.73339080810547),7654321,海上,0,haishang
