NSC,NSC_SUB,DICT,REGION,1,2,3,4,5,6,7,8,9,10,11,12
63,A,3100,新北市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.04 ,4.96 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,3200,桃園市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,11.58 ,0.42 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,1200,新竹市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,3300,新竹縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,3500,苗栗縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.07 ,11.93 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,1700,臺中市,0.00 ,0.00 ,0.00 ,0.00 ,0.05 ,3.29 ,8.65 ,0.02 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,3700,彰化縣,0.00 ,0.00 ,0.00 ,0.00 ,0.03 ,9.11 ,2.86 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,3800,南投縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,10.51 ,1.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,3900,雲林縣,0.00 ,0.00 ,0.00 ,0.00 ,0.19 ,9.32 ,2.40 ,0.09 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,2200,嘉義市,0.00 ,0.00 ,0.00 ,0.00 ,1.18 ,10.66 ,0.15 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,4000,嘉義縣,0.00 ,0.00 ,0.00 ,0.00 ,1.31 ,10.57 ,0.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,2100,臺南市,0.00 ,0.00 ,0.00 ,0.00 ,2.74 ,8.77 ,0.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,2200,高雄市,0.00 ,0.00 ,0.00 ,0.00 ,11.06 ,0.94 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,4300,屏東縣,0.00 ,0.00 ,0.00 ,0.00 ,10.56 ,1.44 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,4500,花蓮縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.12 ,3.88 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,4600,臺東縣,0.00 ,0.00 ,0.00 ,0.00 ,0.04 ,10.97 ,0.99 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,3400,宜蘭縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.42 ,9.56 ,0.02 ,0.00 ,0.00 ,0.00 ,0.00 
63,B,0100,臺北市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 
