dict,x,y,name
3311,257000,2736000,xinzhuxianbeibuxiang
5300,332000,2681000,sea
4114,181000,2564000,tainanshiguantianqu
5300,354000,2729000,sea
5300,357000,2708000,sea
3611,239000,2669000,taizhongshixinshequ
4511,315000,2672000,hualianxianxiulinxiang
101,304000,2771000,taibeishisongshanqu
107,304000,2771000,taibeishizhongshanqu
3914,172000,2617000,yunlinxiandongshixiang
5300,344000,2786000,sea
3411,301000,2726000,yilanxiandatongxiang
3411,285000,2708000,yilanxiandatongxiang
3905,182000,2623000,yunlinxiantukuzhen
3813,245000,2666000,nantouxianrenaixiang
3907,204000,2610000,yunlinxiangukengxiang
4016,212000,2584000,jiayixianfanluxiang
4326,225000,2526000,pingdongxiansandemenxiang
3919,163000,2610000,yunlinxiankouhuxiang
3914,178000,2620000,yunlinxiandongshixiang
3812,259000,2623000,nantouxianxinyixiang
3314,266000,2724000,xinzhuxianwufengxiang
4125,205000,2554000,tainanshinanhuaqu
3723,187000,2648000,zhanghuaxianfangyuanxiang
4506,304000,2635000,hualianxianshoufengxiang
4609,267000,2537000,taidongxianluyexiang
4604,241000,2511000,taidongxianbeinanxiang
4201,184000,2505000,gaoxiongshifengshanqu
4015,215000,2607000,jiayixianmeishanxiang
3411,291000,2702000,yilanxiandatongxiang
5300,341000,2679000,sea
3119,319000,2766000,xinbeishishidingqu
5300,269000,2796000,sea
5300,329000,2648000,sea
3812,247000,2615000,nantouxianxinyixiang
3108,284000,2762000,xinbeishiyinggequ
5300,144000,2517000,sea
2106,163000,2554000,tainanshiannanqu
3504,238000,2735000,miaolixianzhunanzhen
5300,232000,2777000,sea
3109,292000,2748000,xinbeishisanxiaqu
4109,187000,2570000,tainanshiliuyingqu
5001,-21000,2719000,jinmenxianjinchengzhen
4608,294000,2592000,taidongxianzhangbinxiang
4128,177000,2533000,tainanshiguirenqu
3907,206000,2612000,yunlinxiangukengxiang
4018,221000,2591000,jiayixianalishanxiang
3511,247000,2713000,miaolixiannanzhuangxiang
4210,187000,2505000,gaoxiongshiniaosongqu
4221,214000,2555000,gaoxiongshiliuguiqu
4129,182000,2541000,tainanshiguanmiaoqu
5300,299000,2811000,sea
4222,214000,2555000,gaoxiongshijiaxianqu
3211,254000,2761000,taoyuanshixinwuqu
4510,275000,2565000,hualianxianfulixiang
5300,322000,2656000,sea
5300,143000,2612000,sea
3719,207000,2642000,zhanghuaxianshetouxiang
4504,314000,2668000,hualianxianxinchengxiang
3804,217000,2616000,nantouxianzhushanzhen
3213,284000,2743000,taoyuanshifuxingqu
4125,203000,2558000,tainanshinanhuaqu
4124,203000,2558000,tainanshinanxiqu
3723,187000,2658000,zhanghuaxianfangyuanxiang
3213,282000,2735000,taoyuanshifuxingqu
5300,344000,2791000,sea
3506,230000,2727000,miaolixianhoulongzhen
3812,257000,2615000,nantouxianxinyixiang
3303,258000,2737000,xinzhuxianzhudongzhen
4002,164000,2588000,jiayixianbudaizhen
4608,294000,2588000,taidongxianzhangbinxiang
5300,135000,2521000,sea
4511,305000,2665000,hualianxianxiulinxiang
3714,214000,2652000,zhanghuaxianfenyuanxiang
4608,288000,2571000,taidongxianzhangbinxiang
4222,211000,2552000,gaoxiongshijiaxianqu
4513,275000,2606000,hualianxianzhuoxixiang
4213,187000,2535000,gaoxiongshitianliaoqu
5300,321000,2659000,sea
4512,275000,2606000,hualianxianwanrongxiang
5300,251000,2790000,sea
4015,212000,2608000,jiayixianmeishanxiang
5300,249000,2791000,sea
4329,219000,2504000,pingdongxiantaiwuxiang
3204,265000,2752000,taoyuanshiyangmeiqu
3722,196000,2638000,zhanghuaxianpitouxiang
3726,196000,2638000,zhanghuaxianxizhouxiang
5300,347000,2694000,sea
5300,341000,2720000,sea
5300,137000,2622000,sea
5300,144000,2610000,sea
4225,218000,2538000,gaoxiongshimaolinqu
4117,154000,2556000,tainanshiqiguqu
5300,350000,2675000,sea
4510,274000,2561000,hualianxianfulixiang
4207,192000,2512000,gaoxiongshidashuqu
5300,171000,2697000,sea
5300,169000,2690000,sea
3618,226000,2657000,taizhongshiwufengqu
5300,175000,2469000,sea
5300,158000,2482000,sea
4227,229000,2580000,gaoxiongshinamaxiaqu
4615,239000,2491000,taidongxianjinfengxiang
4604,239000,2509000,taidongxianbeinanxiang
3409,333000,2728000,yilanxianwujiexiang
4208,182000,2512000,gaoxiongshirenwuqu
3106,300000,2762000,xinbeishixindianqu
3104,300000,2762000,xinbeishizhonghequ
3112,331000,2777000,xinbeishiruifangqu
4018,228000,2604000,jiayixianalishanxiang
4512,296000,2629000,hualianxianwanrongxiang
3813,279000,2665000,nantouxianrenaixiang
4610,275000,2551000,taidongxianchishangxiang
4302,205000,2493000,pingdongxianchaozhouzhen
3912,179000,2634000,yunlinxianlunbeixiang
1105,325000,2781000,jilongshizhongshanqu
3511,251000,2712000,miaolixiannanzhuangxiang
4223,203000,2546000,gaoxiongshishanlinqu
1101,325000,2781000,jilongshizhongxiqu
4328,214000,2505000,pingdongxianmajiaxiang
4001,175000,2597000,jiayixianpuzishi
3412,322000,2716000,yilanxiannanaoxiang
5300,329000,2662000,sea
4006,181000,2606000,jiayixianxingangxiang
5300,357000,2721000,sea
4613,257000,2572000,taidongxianhaiduanxiang
4226,239000,2583000,gaoxiongshitaoyuanqu
112,305000,2786000,taibeishibeitouqu
5300,346000,2793000,sea
5300,144000,2568000,sea
5300,346000,2690000,sea
4512,277000,2637000,hualianxianwanrongxiang
3212,259000,2771000,taoyuanshiguanyinqu
4013,198000,2592000,jiayixianzhongbuxiang
4301,199000,2510000,pingdongxianpingdongshi
3813,264000,2670000,nantouxianrenaixiang
4121,169000,2555000,tainanshiandingqu
3411,322000,2721000,yilanxiandatongxiang
3808,230000,2641000,nantouxianzhongliaoxiang
5300,163000,2481000,sea
3613,218000,2694000,taizhongshiwaibuqu
4125,206000,2564000,tainanshinanhuaqu
